epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,5026.94,1.78386,1.73805,2.49021,0.8558,0.70485,0.80307,0.64159,1.55089,1.66611,2.49533,0.0070795,0.0070795,0.0070795
61,5111.31,1.79309,1.75374,2.49058,0.78456,0.74393,0.80038,0.64163,1.50867,1.65805,2.42224,0.00703,0.00703,0.00703
62,5194.24,1.77525,1.68788,2.49086,0.79404,0.7323,0.80114,0.63573,1.56011,1.68883,2.48096,0.0069805,0.0069805,0.0069805
63,5278.84,1.78089,1.72943,2.48858,0.81237,0.72838,0.80681,0.65185,1.52843,1.70301,2.44072,0.006931,0.006931,0.006931
64,5362,1.78625,1.67141,2.48663,0.76886,0.75482,0.79369,0.64002,1.52974,1.70237,2.4466,0.0068815,0.0068815,0.0068815
65,5445.22,1.77194,1.66536,2.46001,0.80922,0.73927,0.82056,0.66234,1.4824,1.5461,2.39766,0.006832,0.006832,0.006832
66,5527.73,1.75015,1.64658,2.46753,0.79937,0.75196,0.80706,0.66018,1.50465,1.60158,2.44477,0.0067825,0.0067825,0.0067825
67,5610.8,1.75933,1.66407,2.46874,0.83979,0.75975,0.81733,0.65751,1.53333,1.55415,2.46022,0.006733,0.006733,0.006733
68,5693.07,1.73007,1.62799,2.46101,0.82459,0.73596,0.82047,0.66203,1.50559,1.56048,2.40959,0.0066835,0.0066835,0.0066835
69,5775.62,1.73355,1.67166,2.47018,0.82397,0.72698,0.80982,0.65744,1.48638,1.59144,2.39062,0.006634,0.006634,0.006634
70,5857.42,1.71952,1.63108,2.43919,0.78822,0.75352,0.80211,0.64641,1.46993,1.64663,2.40813,0.0065845,0.0065845,0.0065845
71,5939.67,1.7322,1.59848,2.43607,0.83152,0.71535,0.7971,0.63868,1.49478,1.58366,2.41943,0.006535,0.006535,0.006535
72,6023.1,1.74328,1.6168,2.45401,0.78356,0.77501,0.82198,0.65453,1.51954,1.53972,2.45007,0.0064855,0.0064855,0.0064855
73,6107.22,1.71135,1.62721,2.44877,0.76983,0.76805,0.80984,0.65751,1.43276,1.5679,2.36986,0.006436,0.006436,0.006436
74,6191.39,1.68886,1.55326,2.42464,0.83533,0.75627,0.82623,0.68361,1.39925,1.50411,2.35083,0.0063865,0.0063865,0.0063865
75,6275.61,1.71781,1.5928,2.4279,0.80691,0.75708,0.79872,0.64963,1.47021,1.56293,2.4059,0.006337,0.006337,0.006337
76,6358.35,1.7188,1.58065,2.4461,0.82039,0.73119,0.81475,0.66176,1.47208,1.53733,2.43471,0.0062875,0.0062875,0.0062875
77,6443.18,1.69846,1.57541,2.44123,0.80257,0.75815,0.80945,0.66119,1.4566,1.58724,2.39697,0.006238,0.006238,0.006238
78,6527.15,1.71567,1.56196,2.43849,0.81822,0.72273,0.81256,0.66143,1.44302,1.55877,2.34474,0.0061885,0.0061885,0.0061885
79,6612.71,1.68556,1.53454,2.43099,0.83758,0.76597,0.82458,0.68243,1.41281,1.47245,2.3696,0.006139,0.006139,0.006139
80,6696.2,1.70494,1.5499,2.42486,0.83703,0.73254,0.81263,0.66712,1.46281,1.56684,2.3726,0.0060895,0.0060895,0.0060895
81,6780.2,1.67618,1.56085,2.4266,0.82624,0.77045,0.83565,0.67536,1.4529,1.45239,2.39936,0.00604,0.00604,0.00604
82,6864.47,1.68157,1.54133,2.42262,0.80161,0.77868,0.82954,0.67399,1.45735,1.48274,2.38062,0.0059905,0.0059905,0.0059905
83,6947.67,1.67386,1.52729,2.40946,0.84365,0.72642,0.81302,0.67112,1.42966,1.47352,2.37573,0.005941,0.005941,0.005941
84,7032.49,1.70483,1.5198,2.43626,0.85521,0.76168,0.82563,0.67921,1.46172,1.47329,2.39352,0.0058915,0.0058915,0.0058915
85,7115.86,1.64209,1.51012,2.38762,0.84079,0.76174,0.82762,0.6779,1.45632,1.50261,2.40965,0.005842,0.005842,0.005842
86,7199.25,1.66347,1.5198,2.40506,0.8354,0.72553,0.80818,0.66053,1.44071,1.54738,2.36923,0.0057925,0.0057925,0.0057925
87,7283.21,1.63768,1.50613,2.39824,0.85056,0.72307,0.81202,0.67029,1.44269,1.53348,2.40228,0.005743,0.005743,0.005743
88,7366.06,1.64135,1.52213,2.39703,0.83931,0.74817,0.82726,0.6815,1.39789,1.51504,2.35415,0.0056935,0.0056935,0.0056935
89,7450.38,1.64365,1.49789,2.39121,0.81035,0.77409,0.81808,0.67074,1.47221,1.50859,2.4144,0.005644,0.005644,0.005644
90,7532.44,1.66235,1.48487,2.39866,0.85568,0.75513,0.83488,0.68958,1.45421,1.47883,2.40833,0.0055945,0.0055945,0.0055945
91,7616.6,1.64157,1.45816,2.39016,0.83531,0.74476,0.8252,0.68615,1.39866,1.46146,2.35366,0.005545,0.005545,0.005545
92,7699.74,1.61541,1.44098,2.38293,0.83233,0.75313,0.82011,0.68419,1.38765,1.44614,2.3199,0.0054955,0.0054955,0.0054955
93,7783.38,1.65404,1.48503,2.39574,0.8361,0.74202,0.82905,0.69272,1.38807,1.43022,2.32267,0.005446,0.005446,0.005446
94,7867.04,1.61089,1.42662,2.35889,0.82967,0.75368,0.82186,0.68423,1.41704,1.44164,2.35827,0.0053965,0.0053965,0.0053965
95,7950.12,1.64969,1.47486,2.39319,0.84294,0.75129,0.82398,0.68261,1.41218,1.48306,2.36498,0.005347,0.005347,0.005347
96,8033.66,1.59527,1.42515,2.35285,0.82185,0.76655,0.83557,0.68677,1.41773,1.46786,2.3531,0.0052975,0.0052975,0.0052975
97,8116.81,1.60168,1.43245,2.36605,0.86799,0.74949,0.8331,0.68849,1.37072,1.47775,2.32421,0.005248,0.005248,0.005248
98,8200.43,1.61303,1.41826,2.3667,0.85835,0.75694,0.82302,0.68295,1.43297,1.47161,2.37085,0.0051985,0.0051985,0.0051985
99,8284.9,1.59737,1.41964,2.36554,0.85497,0.73849,0.81873,0.6888,1.39665,1.46988,2.31822,0.005149,0.005149,0.005149
100,8367.63,1.62331,1.44553,2.3754,0.83784,0.75043,0.82584,0.69081,1.39236,1.48411,2.34197,0.0050995,0.0050995,0.0050995
101,8451.09,1.59995,1.4256,2.36774,0.80069,0.75936,0.81515,0.68282,1.38274,1.50052,2.32673,0.00505,0.00505,0.00505
102,8533.04,1.56027,1.40758,2.33827,0.82706,0.75422,0.81952,0.68615,1.38053,1.4812,2.33758,0.0050005,0.0050005,0.0050005
103,8616.77,1.56602,1.40178,2.34287,0.81514,0.75908,0.82888,0.68827,1.4118,1.45257,2.3706,0.004951,0.004951,0.004951
104,8699.31,1.56472,1.39283,2.32417,0.80034,0.77755,0.82675,0.68384,1.41117,1.47364,2.36669,0.0049015,0.0049015,0.0049015
105,8782.69,1.57172,1.40761,2.34469,0.82375,0.74808,0.83068,0.69144,1.36674,1.49499,2.30483,0.004852,0.004852,0.004852
106,8865.64,1.56727,1.39523,2.34593,0.81736,0.74791,0.82335,0.68749,1.35929,1.53282,2.31368,0.0048025,0.0048025,0.0048025
107,8949.83,1.55546,1.3811,2.33158,0.8647,0.75444,0.83572,0.70162,1.33293,1.44653,2.29859,0.004753,0.004753,0.004753
108,9033.54,1.54778,1.37213,2.33343,0.83941,0.75921,0.82379,0.68808,1.37737,1.46095,2.32494,0.0047035,0.0047035,0.0047035
109,9117.77,1.55743,1.35721,2.34024,0.84674,0.74994,0.83231,0.69211,1.37548,1.46426,2.32296,0.004654,0.004654,0.004654
110,9201.18,1.55293,1.34985,2.32882,0.81893,0.78076,0.83353,0.69925,1.36563,1.42466,2.34182,0.0046045,0.0046045,0.0046045
111,9283.54,1.52216,1.33516,2.30976,0.8102,0.7806,0.82123,0.70175,1.33887,1.47389,2.31146,0.004555,0.004555,0.004555
112,9365.43,1.52164,1.33492,2.30772,0.82243,0.74213,0.8266,0.69455,1.36192,1.46119,2.3087,0.0045055,0.0045055,0.0045055
113,9449.95,1.54944,1.32051,2.32304,0.8443,0.70741,0.81923,0.68201,1.3968,1.46638,2.35023,0.004456,0.004456,0.004456
114,9534.3,1.55769,1.35533,2.33653,0.8292,0.73857,0.82417,0.68069,1.40496,1.50107,2.36532,0.0044065,0.0044065,0.0044065
115,9617.34,1.52036,1.2992,2.30665,0.84089,0.74334,0.82491,0.69395,1.36015,1.5055,2.3246,0.004357,0.004357,0.004357
116,9701.49,1.50555,1.29413,2.30583,0.82494,0.73058,0.82041,0.70171,1.34067,1.51465,2.31495,0.0043075,0.0043075,0.0043075
117,9784.58,1.50764,1.28252,2.30284,0.80986,0.74786,0.82185,0.69255,1.37983,1.48973,2.32579,0.004258,0.004258,0.004258
118,9868.88,1.51246,1.29141,2.30622,0.87117,0.7044,0.82539,0.69966,1.35207,1.47512,2.29844,0.0042085,0.0042085,0.0042085
119,9951.89,1.50327,1.28279,2.30695,0.86764,0.72663,0.83274,0.70712,1.36486,1.4213,2.29516,0.004159,0.004159,0.004159
120,10034.9,1.51401,1.32593,2.30184,0.84699,0.74983,0.83715,0.70852,1.33724,1.46281,2.27618,0.0041095,0.0041095,0.0041095
121,10119.1,1.50875,1.30094,2.30236,0.81847,0.76638,0.83016,0.70254,1.36127,1.44143,2.30657,0.00406,0.00406,0.00406
122,10202.5,1.49049,1.28042,2.28652,0.80532,0.7229,0.81039,0.68254,1.37427,1.5678,2.31083,0.0040105,0.0040105,0.0040105
123,10286.6,1.4784,1.2658,2.29945,0.83371,0.75098,0.8221,0.69591,1.36774,1.53046,2.32061,0.003961,0.003961,0.003961
124,10369.1,1.49574,1.29183,2.29919,0.86174,0.77243,0.83235,0.70082,1.36273,1.44593,2.31466,0.0039115,0.0039115,0.0039115
125,10452.3,1.47821,1.26051,2.2839,0.81613,0.77335,0.82853,0.70353,1.34491,1.45166,2.33459,0.003862,0.003862,0.003862
126,10535.9,1.50774,1.2796,2.29369,0.84418,0.74851,0.82897,0.70057,1.36441,1.41682,2.3444,0.0038125,0.0038125,0.0038125
127,10619.9,1.47886,1.24886,2.27383,0.83599,0.73049,0.81883,0.70151,1.32983,1.46778,2.30366,0.003763,0.003763,0.003763
128,10703.7,1.48817,1.24936,2.28285,0.81923,0.7531,0.81731,0.70362,1.3256,1.48857,2.29577,0.0037135,0.0037135,0.0037135
129,10787.4,1.48241,1.2655,2.28481,0.84831,0.73058,0.81435,0.70026,1.33486,1.5206,2.29134,0.003664,0.003664,0.003664
130,10870.7,1.43666,1.23097,2.26909,0.82116,0.74505,0.8257,0.71026,1.31172,1.4684,2.28533,0.0036145,0.0036145,0.0036145
131,10952.8,1.46014,1.20279,2.27265,0.84954,0.74656,0.82923,0.71008,1.3102,1.48845,2.29382,0.003565,0.003565,0.003565
132,11035.4,1.43913,1.23872,2.26526,0.81532,0.73395,0.81553,0.69444,1.34288,1.54494,2.28801,0.0035155,0.0035155,0.0035155
133,11117.7,1.45623,1.20585,2.26427,0.83159,0.74374,0.82564,0.6995,1.33826,1.50556,2.2945,0.003466,0.003466,0.003466
134,11201.7,1.45028,1.1988,2.27005,0.82717,0.74808,0.81859,0.69815,1.31844,1.53048,2.26673,0.0034165,0.0034165,0.0034165
135,11284.4,1.44369,1.20707,2.26968,0.81941,0.74307,0.81551,0.69859,1.35327,1.54419,2.28962,0.003367,0.003367,0.003367
136,11366.1,1.4472,1.24083,2.26617,0.84295,0.7309,0.815,0.69678,1.33274,1.55038,2.28603,0.0033175,0.0033175,0.0033175
137,11448.7,1.44765,1.21375,2.27019,0.82545,0.75533,0.81922,0.70022,1.32826,1.55877,2.28908,0.003268,0.003268,0.003268
138,11530.9,1.43057,1.2017,2.2567,0.87113,0.72138,0.82848,0.7092,1.30968,1.54454,2.28136,0.0032185,0.0032185,0.0032185
139,11613.4,1.43483,1.18125,2.24695,0.83124,0.75184,0.82621,0.70193,1.30539,1.54362,2.27182,0.003169,0.003169,0.003169
140,11696.8,1.41327,1.20445,2.253,0.87331,0.71528,0.82086,0.69892,1.32463,1.55617,2.29187,0.0031195,0.0031195,0.0031195
141,11778.6,1.41885,1.16774,2.23814,0.83792,0.75186,0.81663,0.69318,1.36454,1.59711,2.31814,0.00307,0.00307,0.00307
142,11862.7,1.40333,1.17732,2.24174,0.79575,0.76907,0.81555,0.70031,1.34022,1.57212,2.30491,0.0030205,0.0030205,0.0030205
143,11947.3,1.40632,1.17726,2.23914,0.83229,0.74898,0.82359,0.70682,1.33422,1.55729,2.30737,0.002971,0.002971,0.002971
144,12030,1.40844,1.16375,2.23425,0.82864,0.75493,0.81782,0.70139,1.34138,1.56659,2.30781,0.0029215,0.0029215,0.0029215
145,12112,1.41446,1.17254,2.24535,0.79462,0.76985,0.81644,0.6979,1.36267,1.56987,2.32916,0.002872,0.002872,0.002872
146,12194.3,1.40241,1.15856,2.23827,0.82193,0.74799,0.8185,0.69265,1.37555,1.57694,2.34084,0.0028225,0.0028225,0.0028225
147,12277.2,1.38333,1.16035,2.23793,0.80214,0.75761,0.82022,0.69881,1.35392,1.6248,2.33785,0.002773,0.002773,0.002773
